time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-14T00:57:27.790Z,37.4821663,-118.7848358,7,1.9,md,27,153,0.1133,0.06,nc,nc72326696,2014-10-14T05:09:10.654Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-14T00:57:03.500Z,38.8688316,-122.8248367,1.01,0.19,md,7,204,0.0142,0.02,nc,nc72326701,2014-10-14T01:49:03.238Z,"10km WNW of Cobb, California",earthquake
2014-10-14T00:54:26.920Z,36.5146,70.9126,187.47,4.7,mb,,73,0.666,0.93,us,usb000sluu,2014-10-14T02:11:33.647Z,"39km S of Jarm, Afghanistan",earthquake
2014-10-14T00:34:01.520Z,38.8185005,-122.810997,3.44,0.88,md,13,84,0.01615,0.02,nc,nc72326691,2014-10-14T00:55:02.586Z,"6km NW of The Geysers, California",earthquake
2014-10-14T00:32:16.590Z,-6.4284,147.5353,63.51,4.7,mb,,93,2.98,0.77,us,usb000slum,2014-10-14T08:34:52.670Z,"41km WNW of Finschhafen, Papua New Guinea",earthquake
2014-10-14T00:04:16.660Z,37.476,-118.7993,6.34,0.35,ml,6,167.97,0.143,,nn,nn00463882,2014-10-14T00:05:36.766Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-14T00:03:20.170Z,33.2931667,-116.7548333,9.26,0.34,ml,15,95,0.05713,0.26,ci,ci37278840,2014-10-14T00:07:13.580Z,"19km SSE of Aguanga, California",earthquake
2014-10-13T23:58:27.030Z,37.4818344,-118.7803345,8.74,2.04,md,28,103,0.1148,0.06,nc,nc72326671,2014-10-14T04:11:08.524Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-13T23:51:32.940Z,35.3775,-118.851,16.02,2.41,ml,10,145,0.2098,0.41,ci,ci37278832,2014-10-14T07:54:12.595Z,"14km NNE of Lamont, California",earthquake
2014-10-13T23:50:15.000Z,63.8389,-148.7302,14,1.2,ml,7,140.399988768001,0.1410355,0.28,ak,ak11417713,2014-10-14T01:25:10.136Z,"11km E of Healy, Alaska",earthquake
2014-10-13T23:49:29.370Z,37.4833336,-118.7786636,7.67,1.28,md,13,154,0.04555,0.03,nc,nc72326661,2014-10-14T03:12:07.258Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-13T23:48:52.250Z,37.4818344,-118.777832,7.95,1.14,md,10,155,0.04506,0.02,nc,nc72326656,2014-10-14T02:43:04.169Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-13T23:48:42.100Z,45.69,-122.4037,0,1.1,Md,,169.2,0.23356197,0.27,uw,uw60892112,2014-10-14T02:49:00.666Z,"5km N of Fern Prairie, Washington",quarry
2014-10-13T23:32:49.180Z,37.6213341,-118.8016663,0.93,0.67,md,6,184,0.03183,0.11,nc,nc72326646,2014-10-14T02:14:06.017Z,"15km ESE of Mammoth Lakes, California",earthquake
2014-10-13T23:31:54.230Z,33.183,-115.5971667,1.51,1.61,ml,23,92,0.01644,0.41,ci,ci37278824,2014-10-13T23:42:51.670Z,"9km SW of Niland, California",earthquake
2014-10-13T23:26:18.130Z,35.0283333,-117.6806667,0.01,1.46,ml,23,75,0.0946,0.39,ci,ci37278816,2014-10-13T23:30:01.510Z,"4km NW of Boron, California",quarry_blast
2014-10-13T23:08:56.290Z,37.9230003,-122.2860031,6.63,1.15,md,13,88,0.03954,0.21,nc,nc72326641,2014-10-14T01:45:07.797Z,"1km NNW of Kensington, California",earthquake
